date,temp_c,rainfall_mm,humidity_percent
2026-01-06,27.77777777777778,-32.0,
2026-01-07,35.55,-11.13,60.0
2026-01-08,30.33888888888889,59.900000000000006,66.0
2026-01-10,25.8,7.2,50.0
2026-01-13,16.8,21.7,36.0
2026-01-14,39.6,-2.4,47.0
2026-01-15,23.1,23.9,51.0
2026-01-17,23.955555555555556,42.6,58.0
2026-01-19,37.888888888888886,0.0,75.0
2026-01-22,24.0,11.9,85.0
2026-01-24,21.0,43.9,79.0
2026-01-25,24.05,44.804,72.5
2026-01-26,24.61111111111111,-38.7,35.0
2026-01-27,22.049999999999997,61.6,52.0
2026-01-30,21.748148148148147,83.69800000000001,70.0
2026-01-31,26.9,24.5,95.0
2026-02-03,29.38888888888889,55.586,47.5
2026-02-04,19.7,13.7,48.0
2026-02-05,38.9,-15.1,78.0
2026-02-06,39.5,-3.7,81.0
2026-02-07,33.95,10.832,73.5
2026-02-08,26.45,36.8,42.0
2026-02-10,27.1,74.7,44.0
2026-02-12,24.5,56.476,34.0
2026-02-19,25.1,36.57599999999999,70.0
2026-02-20,21.7,0.0,65.0
2026-02-25,22.88888888888889,12.953999999999999,
2026-02-28,22.844444444444445,58.58,58.0
2026-03-01,22.644444444444446,103.1,61.0
2026-03-02,35.611111111111114,22.1,39.0
2026-03-04,31.72222222222222,26.2,61.0
2026-03-05,22.144444444444446,80.2,68.0
2026-03-06,31.38888888888889,20.574,33.0
2026-03-07,34.111111111111114,36.8,84.0
2026-03-08,29.75,0.7000000000000002,69.0
2026-03-11,26.916666666666668,45.211999999999996,85.0
2026-03-12,34.45,73.916,87.0
2026-03-13,24.33888888888889,22.8,53.5
2026-03-16,28.72222222222222,16.7,77.0
2026-03-17,21.8,28.9,47.0
2026-03-18,34.2,18.5,
2026-03-19,30.7,34.0,63.0
2026-03-20,30.5,30.4,45.0
2026-03-21,34.0,47.498,45.0
2026-03-22,26.8,42.925999999999995,48.0
2026-03-24,32.72222222222222,41.148,78.0
2026-03-26,30.2,88.0,38.0
2026-03-27,33.2,0.0,74.0
2026-03-28,16.0,34.6,
2026-03-29,27.34444444444444,58.0,61.5
2026-03-30,30.45,18.4,84.0
2026-03-31,39.05,1.5,82.5
2026-04-03,26.75,39.7,65.5
2026-04-04,31.72222222222222,19.6,39.0
2026-04-05,30.703703703703706,50.4,47.0
2026-04-06,27.5,3.3,94.0
2026-04-07,15.9,28.4,74.0
2026-04-08,38.9,15.239999999999998,40.0
2026-04-09,35.35,86.7,73.0
2026-04-11,38.6,-18.7,34.0
2026-04-13,35.340740740740735,55.11399999999999,71.33333333333333
2026-04-14,25.500000000000004,-49.0,39.0
2026-04-15,20.7,-25.0,68.0
2026-04-16,39.9,32.7,62.0
2026-04-19,26.888888888888893,25.9,54.0
2026-04-20,36.7,19.7,37.0
2026-04-23,37.27777777777778,37.7,51.0
2026-04-26,31.72222222222222,27.5,50.0
2026-04-28,18.3,0.0,49.0
2026-04-29,28.9,14.8,71.0
2026-04-30,36.07037037037037,60.396,71.33333333333333
2026-05-01,27.700000000000003,63.5,40.0
2026-05-02,20.1,4.0,68.0
2026-05-03,20.11111111111111,3.7,46.0
2026-05-04,25.450000000000003,71.458,52.0
2026-05-11,28.9,25.0,34.0
2026-05-16,21.994444444444447,0.0,79.0
2026-05-17,24.3,27.3,60.0
2026-05-18,19.777777777777775,29.971999999999998,76.0
2026-05-20,33.511111111111106,88.80000000000001,43.0
2026-05-21,19.111111111111114,36.2,32.0
2026-05-22,29.38888888888889,48.767999999999994,49.0
2026-05-23,29.46111111111111,-8.0,48.0
2026-05-26,19.95,61.5,36.0
2026-05-27,25.72222222222222,18.6,74.0
2026-05-28,17.77777777777778,-25.2,60.0
2026-05-29,17.25,14.100000000000001,80.0
2026-05-30,37.22222222222222,35.6,
2026-05-31,19.9,18.0,51.0
2026-06-01,29.961111111111116,-32.800000000000004,70.0
2026-06-02,23.000000000000004,0.6,59.0
2026-06-05,31.394444444444442,75.184,58.5
2026-06-07,22.7,13.4,64.0
2026-06-08,33.75,-21.798000000000002,75.0
2026-06-10,30.9,36.57599999999999,38.0
2026-06-11,31.0,39.8,85.0
2026-06-13,20.4,47.2,58.0
2026-06-16,26.25,65.30000000000001,62.5
2026-06-18,21.888888888888893,44.1,38.0
2026-06-19,20.38888888888889,48.3,39.0
2026-06-21,24.7,0.0,59.0
2026-06-22,15.6,29.6,38.0
2026-06-23,30.27777777777778,6.9,45.0
2026-06-26,23.72222222222222,79.5,71.0
2026-06-27,35.27777777777778,28.955999999999996,
2026-06-30,24.75,18.700000000000003,51.5
2026-07-02,25.72222222222222,12.953999999999999,35.0
2026-07-03,19.444444444444446,98.68199999999999,73.5
2026-07-06,34.111111111111114,25.654,71.0
2026-07-08,17.72222222222222,14.7,32.0
2026-07-09,20.400000000000002,115.976,51.5
2026-07-11,31.2,1.27,69.0
2026-07-14,28.3,42.7,89.0
2026-07-17,32.0,9.906,95.0
2026-07-19,25.68888888888889,57.599999999999994,52.0
2026-07-20,24.8,11.2,39.0
2026-07-21,33.129629629629626,100.5,75.5
2026-07-23,28.88888888888889,48.2,51.0
2026-07-24,18.105555555555554,60.082,66.0
2026-07-26,28.6,18.034,70.0
2026-07-27,30.75,29.718,57.0
2026-07-28,27.38888888888889,9.7,
2026-07-29,17.3,47.5,74.0
2026-07-30,27.666666666666668,76.524,68.0
2026-07-31,32.05,46.77799999999999,66.0
